"ID","ItemType","Name","Value","Weight","Model","Inventory","Script"
"artifact_bittercup_01","Misc","Bittercup","100000","10.00","m\Artifact_bittercup_01.NIF","m\Tx_bittercup_01.tga","bittercup"
"ashes_Dwemer","Misc","Ash pile","0","2.00","n\Ingred_Vampire_Dust_01.nif","n\Tx_vampire_dust_01.tga",""
"bladepiece_02","Misc","Broken Dwemer Blade Piece","250","1.00","w\W_NerevarBladeLeft.NIF","w\Tx_W_NerevarBladeLeft.dds",""
"bladepiece_03","Misc","Broken Dwemer Blade Piece","250","1.00","w\W_NerevarBladeRight.NIF","w\Tx_W_NerevarBladeRight.dds",""
"BM_bearheart_UNIQUE","Misc","Heart of the Spirit Bear","5","1.00","m\BM_BearHunt.NIF","m\Tx_BearHunt.dds",""
"BM_Seeds_UNIQUE","Misc","Strange Seeds","5","1.00","f\Act_BM_seeds_01.NIF","n\Tx_ingred_seeds_01.dds",""
"BM_waterlife_UNIQUE1","Misc","Waters of Life","100","1.00","n\Potion_Cyro_whiskey_01.nif","n\Tx_cyro_whiskey_01.tga","watersScript"
"devote_bone_Pop00","Misc","Bone from Pop Je","1","1.00","f\Furn_bone_01.nif","m\misc_Pop_bone00.tga",""
"devote_Brinne_Dust_00","Misc","Ashes of Lord Brinne","0","1.00","n\Ingred_Vampire_Dust_01.nif","n\Tx_vampire_dust_01.tga",""
"devote_Lyngas_Dust_00","Misc","Ashes of G. Lyngas","0","1.00","n\Ingred_Vampire_Dust_01.nif","n\Tx_vampire_dust_01.tga",""
"devote_Nan_Dust_00","Misc","Ashes of D. Bryant","0","1.00","n\Ingred_Vampire_Dust_01.nif","n\Tx_vampire_dust_01.tga",""
"dwemer_satchel00","Misc","Dwemer Satchel Pack","50","10.00","m\dwemer_satchel00.NIF","m\misc_dwe_satchel00.dds",""
"Gold_001","Misc","Gold","1","0.00","m\Gold_001.NIF","m\Tx_Gold_001.tga",""
"Gold_005","Misc","Gold","5","0.00","m\Gold_005.NIF","m\Tx_Gold_001.tga",""
"Gold_010","Misc","Gold","10","0.00","m\Gold_010.NIF","m\Tx_Gold_001.tga",""
"Gold_025","Misc","Gold","25","0.00","m\Gold_025.NIF","m\Tx_Gold_001.tga",""
"Gold_100","Misc","Gold","100","0.00","m\Gold_100.NIF","m\Tx_Gold_001.tga",""
"Gold_Dae_cursed_001","Misc","Gold","1","0.00","m\Gold_001.NIF","m\Tx_Gold_001.tga","BILL_MarksDaedraSummon"
"Gold_Dae_cursed_005","Misc","Gold","5","0.00","m\Gold_005.NIF","m\Tx_Gold_001.tga","BILL_MarksDaedraSummon"
"index_andra","Misc","Andasreth Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_beran","Misc","Berandas Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_falas","Misc","Falasmaryon Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_falen","Misc","Falensarano Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_hlor","Misc","Hlormaren Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_indo","Misc","Indoranyon Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_maran","Misc","Marandus Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_roth","Misc","Rotheran Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_telas","Misc","Telasero Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"index_valen","Misc","Valenvaryon Propylon Index","500","2.00","m\misc_portal_shard.NIF","m\misc_portal_shard.tga",""
"key_abebaalslaves_01","Misc","Abebaal Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_addamasartusslaves_01","Misc","Addamasartus Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_adibael","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_aharunartusslaves_01","Misc","Aharunartus Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ahnassi","Misc","Ahnassi's key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ald_redaynia","Misc","Chest Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_aldruhn_underground","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_aldsotha","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Aleft_chest","Misc","Key to Aleft chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_alvur","Misc","Alvur's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Andalen_chest","Misc","Key to Andalen chest","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_Andalen_tomb","Misc","Key to Andalen tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Andas_tomb","Misc","Key to Andas tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Andavel_tomb","Misc","Key to Andavel tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Andrethi_chest","Misc","Key to Andrethi tomb chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Andules_chest","Misc","Key to Andules chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_anja","Misc","Anja's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Aralen","Misc","Key Aralen Tombs","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Aran_tomb","Misc","Key to Aran tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"Key_Arano_chest","Misc","Key to Arano Tomb chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"Key_Arano_door","Misc","Key to Arano Tomb Door","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_archcanon_private","Misc","Archcanon's Private Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_Arenim","Misc","Arenim burial key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Arenim_chest","Misc","Key to Arenim chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Arkngthunch_chest","Misc","Key to Arkngthunch chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_armigers_stronghold","Misc","Armigers Stronghold dungeon key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_arobarmanor_01","Misc","Arobar Manor Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_arobarmanorguard_01","Misc","Arobar Manor Guard's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_arrile","Misc","Standard Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_arvs-drelen_cell","Misc","Arvs-Drelen Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Aryon_chest","Misc","Key to Aryon chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ashalmawia_prisoncell","Misc","Ancient daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_Ashirbadon","Misc","Old Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Ashmelech","Misc","Key to Asmelech ","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_Ashmelech_chest","Misc","Key to Asmelech chest","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_ashurninibi","Misc","Ancient daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_ashurninibi_lost","Misc","Ancient, rusted Daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_assarnud","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assarnudslaves_01","Misc","Assarnud Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assemanu_01","Misc","Rusty Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assemanu_02","Misc","Old Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_assi","Misc","Assi's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assi_serimilk","Misc","Rusty Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_aurane1","Misc","Aurane Frernis' Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_balmorag_tong_01","Misc","Basement Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_balmorag_tong_02","Misc","Storage Room Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Baram_tomb","Misc","Key to Baram tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_berandas","Misc","Stolen Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_bivaleteneran_01","Misc","Bivale Teneran's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_bolayn","Misc","Bolayne's chest key","0","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Bols","Misc","Standard Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_brallion","Misc","Brallion's Key","100","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Brinne_chest","Misc","Key to Lord Brinne's chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Bthanchend_chest","Misc","Key to Bthanchend chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Bthuand","Misc","Key to Bthuand","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_cabin","Misc","Cabin Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_caius_cosades","Misc","Caius Cosades' Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_calderaslaves_01","Misc","Caldera Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_camp","Misc","Iron Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_caryarel","Misc","Caryarel's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_cell_buckmoth_01","Misc","Buckmoth Prison Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_cell_ebonheart_01","Misc","Hawkmoth Prison Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_aryniorethi_01","Misc","Aryni Orethi's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_avonravel_01","Misc","Hlormaren - Avon Ravel's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_brilnosullarys_01","Misc","Hlormaren Wizard's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_coduscallonus_01","Misc","Codus Callonus' Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_drinarvaryon_01","Misc","Drinar Varyon's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ciennesintieve_01","Misc","Cienne Sintieve's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Dareleth_tomb","Misc","Key Dareleth tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dawnvault","Misc","Tower of Dawn Vault Key","300","0.00","m\Key_Temple_01.nif","m\Tx_key_temple_01.tga",""
"key_desele","Misc","Bedroom Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth00","Misc","Divayth's 637th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth01","Misc","Divayth's 678th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
