"ID","ItemType","Name","Weight","Model","Inventory","Script","Organic","Respawn"
"barrel_01","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_ahnassi_drink","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","Yes","No"
"barrel_01_ahnassi_food","Container","Wooden Barrel","50.00","o\Contain_barrel_01.NIF","","","Yes","No"
"barrel_01_arrows","Container","Barrel","75.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_ashyams","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_cheapfood20","Container","Wooden Barrel","75.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_cheapfood5","Container","Wooden Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_cheapfood_co","Container","Wooden Barrel","50.00","o\Contain_barrel_01.NIF","","ColonyDock","No","No"
"barrel_01_de_pos1","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_drinks","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_drinks_nord","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_empty","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_empty_co1","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","Colony_first_boat","No","No"
"barrel_01_float_food20","Container","Wooden Barrel","200.00","o\Contain_barrel_01.NIF","","Float","No","No"
"barrel_01_Ingredients","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_Ingredients_F","Container","Floating Barrel","200.00","o\Contain_barrel_01.NIF","","Float","No","No"
"barrel_01_manicky","Container","Barrel","200.00","o\Contain_barrel_01.nif","","","No","No"
"barrel_01_moonsugar","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_pos","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_random_pos","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_saltrice","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_todd","Container","Todd's Barrel of Testing","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_01_torch","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_02","Container","Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_02_CheapFood5","Container","Wooden Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_02_CheapFood_co","Container","Wooden Barrel","50.00","o\contain_barrel10.nif","","ColonyDock","No","No"
